Phase,Test,Limb,Peak Force (kg),Peak Force (N),timestamp
Phase 2,Quads,Right,55.06,540,2026-02-27 15:03
Phase 2,Quads,Right,60.08,589.2,2026-02-27 15:03
Phase 2,Quads,Left,44.55,436.9,2026-02-27 15:05
Phase 2,Quads,Left,47.51,465.9,2026-02-27 15:06
"Phase 2","Quads","Right",58.08,569.6,"2026-03-02 14:56:01"
"Phase 2","Quads","Right",69.15,678.1,"2026-03-02 14:56:21"
"Phase 2","Hamstrings","Right",31.58,309.7,"2026-03-02 14:57:07"
"Phase 2","Hamstrings","Right",32.5,318.8,"2026-03-02 14:57:18"
"Phase 2","Quads","Left",55.64,545.7,"2026-03-02 14:58:31"
"Phase 2","Quads","Left",60.33,591.6,"2026-03-02 14:58:48"
"Phase 2","Hamstrings","Left",24.65,241.7,"2026-03-02 14:59:29"
"Phase 2","Hamstrings","Left",26.58,260.7,"2026-03-02 14:59:40"
"Phase 2","Quads","Right",64.13,628.9,"2026-03-23 14:38:34"
"Phase 2","Quads","Right",72.07,706.8,"2026-03-23 14:39:02"
"Phase 2","Quads","Left",60.84,596.6,"2026-03-23 14:40:12"
"Phase 2","Quads","Left",67.07,657.8,"2026-03-23 14:40:48"
"Phase 2","Hamstrings","Left",38.4,376.6,"2026-03-23 14:43:11"
"Phase 2","Hamstrings","Left",43.78,429.4,"2026-03-23 14:43:40"
"Phase 2","Hamstrings","Right",44.81,439.4,"2026-03-23 14:44:58"
"Phase 2","Hamstrings","Right",46.81,459.1,"2026-03-23 14:45:16"
